,State,Year,Median Income,Standard Error
51,Wyoming,2023,"77,200","4,350"
53,Alabama,2022,"62,290","2,011"
54,Alaska,2022,"93,310","5,034"
55,Arizona,2022,"76,370","4,287"
56,Arkansas,2022,"56,120","2,470"
57,California,2022,"88,690","2,037"
58,Colorado,2022,"93,510","3,940"
59,Connecticut,2022,"94,340","4,414"
60,Delaware,2022,"83,960","4,326"
61,District of Columbia,2022,"105,700","3,237"
62,Florida,2022,"67,960","2,028"
63,Georgia,2022,"70,420","3,099"
64,Hawaii,2022,"94,620","3,859"
65,Idaho,2022,"75,460","2,763"
66,Illinois,2022,"81,120","2,459"
67,Indiana,2022,"72,810","2,825"
68,Iowa,2022,"79,350","3,488"
69,Kansas,2022,"75,950","3,577"
70,Kentucky,2022,"58,090","4,222"
71,Louisiana,2022,"60,640","2,104"
72,Maine,2022,"78,150","3,686"
73,Maryland,2022,"112,500","5,568"
74,Massachusetts,2022,"97,260","3,411"
75,Michigan,2022,"71,730","2,905"
76,Minnesota,2022,"93,980","4,478"
77,Mississippi,2022,"50,540","2,523"
78,Missouri,2022,"74,360","4,197"
79,Montana,2022,"75,870","2,992"
80,Nebraska,2022,"81,480","3,273"
81,Nevada,2022,"75,200","3,695"
82,New Hampshire,2022,"88,350","5,774"
83,New Jersey,2022,"96,010","3,590"
84,New Mexico,2022,"58,660","2,441"
85,New York,2022,"78,920","2,089"
86,North Carolina,2022,"67,660","3,115"
87,North Dakota,2022,"81,840","4,544"
88,Ohio,2022,"70,200","2,302"
89,Oklahoma,2022,"65,960","3,505"
90,Oregon,2022,"90,230","3,567"
91,Pennsylvania,2022,"75,070","2,697"
92,Rhode Island,2022,"83,860","4,284"
93,South Carolina,2022,"64,220","2,704"
94,South Dakota,2022,"69,850","3,533"
95,Tennessee,2022,"67,980","2,666"
96,Texas,2022,"77,600","1,905"
97,Utah,2022,"99,610","4,190"
98,Vermont,2022,"75,060","4,328"
99,Virginia,2022,"88,550","4,244"
100,Washington,2022,"92,980","2,738"
101,West Virginia,2022,"54,540","2,478"
102,Wisconsin,2022,"76,240","2,669"
103,Wyoming,2022,"76,000","2,391"
105,Alabama,2021,"63,750","2,569"
106,Alaska,2021,"90,850","4,442"
107,Arizona,2021,"79,310","3,801"
108,Arkansas,2021,"56,870","1,613"
109,California,2021,"91,350","1,365"
110,Colorado,2021,"95,130","3,533"
111,Connecticut,2021,"90,660","5,891"
112,Delaware,2021,"76,920","3,269"
113,District of Columbia,2021,"101,500","4,206"
114,Florida,2021,"66,890","1,690"
115,Georgia,2021,"68,860","2,538"
116,Hawaii,2021,"92,050","4,244"
117,Idaho,2021,"86,130","2,058"
118,Illinois,2021,"88,750","1,983"
119,Indiana,2021,"78,600","2,821"
120,Iowa,2021,"81,110","3,929"
121,Kansas,2021,"85,080","4,718"
122,Kentucky,2021,"62,290","3,388"
123,Louisiana,2021,"64,060","3,224"
124,Maine,2021,"79,660","3,463"
125,Maryland,2021,"109,000","5,031"
126,Massachusetts,2021,"96,940","4,590"
127,Michigan,2021,"72,210","4,277"
128,Minnesota,2021,"90,080","5,655"
129,Mississippi,2021,"52,230","2,021"
130,Missouri,2021,"71,210","3,034"
131,Montana,2021,"72,790","5,599"
132,Nebraska,2021,"87,470","4,437"
133,Nevada,2021,"72,050","3,919"
134,New Hampshire,2021,"99,490","5,396"
135,New Jersey,2021,"99,170","5,321"
136,New Mexico,2021,"59,870","3,518"
137,New York,2021,"81,660","3,103"
138,North Carolina,2021,"70,430","2,353"
139,North Dakota,2021,"77,140","3,058"
140,Ohio,2021,"70,200","3,281"
141,Oklahoma,2021,"67,300","4,382"
142,Oregon,2021,"91,660","3,439"
143,Pennsylvania,2021,"81,330","2,300"
144,Rhode Island,2021,"83,970","4,727"
145,South Carolina,2021,"70,040","2,420"
146,South Dakota,2021,"82,750","2,973"
147,Tennessee,2021,"69,610","2,956"
148,Texas,2021,"75,480","1,708"
149,Utah,2021,"98,150","4,746"
150,Vermont,2021,"85,190","3,887"
151,Virginia,2021,"89,890","3,306"
152,Washington,2021,"98,150","3,703"
153,West Virginia,2021,"52,450","2,517"
154,Wisconsin,2021,"78,320","3,508"
155,Wyoming,2021,"79,570","4,388"
157,Alabama,2020 (41),"63,980","2,998"
158,Alaska,2020 (41),"87,440","4,162"
159,Arizona,2020 (41),"78,480","3,988"
160,Arkansas,2020 (41),"59,400","2,149"
161,California,2020 (41),"90,840","1,681"
162,Colorado,2020 (41),"98,010","7,041"
163,Connecticut,2020 (41),"92,930","4,214"
164,Delaware,2020 (41),"81,920","6,180"
165,District of Columbia,2020 (41),"103,200","4,107"
166,Florida,2020 (41),"67,570","2,122"
167,Georgia,2020 (41),"69,330","2,413"
168,Hawaii,2020 (41),"94,560","2,839"
169,Idaho,2020 (41),"78,060","2,326"
170,Illinois,2020 (41),"86,960","2,605"
171,Indiana,2020 (41),"78,150","4,885"
172,Iowa,2020 (41),"80,510","3,915"
173,Kansas,2020 (41),"85,500","4,249"
174,Kentucky,2020 (41),"66,400","2,753"
175,Louisiana,2020 (41),"59,880","1,875"
176,Maine,2020 (41),"74,510","4,021"
177,Maryland,2020 (41),"110,900","4,955"
178,Massachusetts,2020 (41),"102,700","7,402"
179,Michigan,2020 (41),"75,330","3,733"
180,Minnesota,2020 (41),"92,130","3,969"
181,Mississippi,2020 (41),"52,800","3,068"
182,Missouri,2020 (41),"72,740","3,176"
183,Montana,2020 (41),"66,380","2,921"
184,Nebraska,2020 (41),"84,520","2,869"
185,Nevada,2020 (41),"71,550","2,839"
186,New Hampshire,2020 (41),"104,000","4,073"
187,New Jersey,2020 (41),"100,100","4,745"
188,New Mexico,2020 (41),"59,550","2,011"
189,New York,2020 (41),"80,320","2,804"
190,North Carolina,2020 (41),"70,700","1,928"
191,North Dakota,2020 (41),"75,010","2,739"
192,Ohio,2020 (41),"70,640","1,804"
193,Oklahoma,2020 (41),"61,380","2,236"
194,Oregon,2020 (41),"89,910","4,191"
195,Pennsylvania,2020 (41),"82,810","3,993"
196,Rhode Island,2020 (41),"93,790","3,956"
197,South Carolina,2020 (41),"70,590","2,317"
198,South Dakota,2020 (41),"82,110","5,069"
199,Tennessee,2020 (41),"64,310","2,111"
200,Texas,2020 (41),"80,020","2,267"
201,Utah,2020 (41),"98,260","3,369"
202,Vermont,2020 (41),"78,680","4,790"
203,Virginia,2020 (41),"96,180","3,644"
204,Washington,2020 (41),"95,180","3,624"
205,West Virginia,2020 (41),"60,800","2,548"
206,Wisconsin,2020 (41),"78,860","5,646"
207,Wyoming,2020 (41),"76,570","2,581"
209,Alabama,2019,"66,430","2,970"
210,Alaska,2019,"92,670","7,902"
211,Arizona,2019,"83,540","4,008"
212,Arkansas,2019,"64,470","2,818"
213,California,2019,"92,330","2,187"
214,Colorado,2019,"85,700","6,172"
215,Connecticut,2019,"103,200","5,474"
216,Delaware,2019,"87,700","3,557"
217,District of Columbia,2019,"110,100","4,591"
218,Florida,2019,"69,000","1,866"
219,Georgia,2019,"66,940","2,106"
220,Hawaii,2019,"104,000","4,214"
221,Idaho,2019,"78,000","2,544"
222,Illinois,2019,"87,950","3,103"
223,Indiana,2019,"78,840","3,679"
224,Iowa,2019,"78,080","4,739"
225,Kansas,2019,"86,470","5,117"
226,Kentucky,2019,"65,800","3,018"
227,Louisiana,2019,"61,120","1,670"
228,Maine,2019,"78,660","5,913"
229,Maryland,2019,"113,000","3,881"
230,Massachusetts,2019,"103,700","3,343"
231,Michigan,2019,"75,790","1,986"
232,Minnesota,2019,"96,250","3,532"
233,Mississippi,2019,"52,940","3,543"
234,Missouri,2019,"71,630","3,466"
235,Montana,2019,"71,150","2,711"
236,Nebraska,2019,"86,370","3,852"
237,Nevada,2019,"83,820","4,096"
238,New Hampshire,2019,"102,700","3,217"
239,New Jersey,2019,"103,700","4,809"
240,New Mexico,2019,"62,780","2,596"
241,New York,2019,"84,940","2,009"
242,North Carolina,2019,"72,290","1,949"
243,North Dakota,2019,"82,780","3,748"
244,Ohio,2019,"76,440","3,560"
245,Oklahoma,2019,"70,210","2,786"
246,Oregon,2019,"87,960","6,709"
247,Pennsylvania,2019,"83,430","3,813"
248,Rhode Island,2019,"82,920","5,886"
249,South Carolina,2019,"73,320","2,108"
250,South Dakota,2019,"75,950","4,463"
251,Tennessee,2019,"66,940","3,270"
252,Texas,2019,"79,720","2,091"
253,Utah,2019,"99,910","4,130"
254,Vermont,2019,"87,830","3,646"
255,Virginia,2019,"96,120","3,613"
256,Washington,2019,"97,470","3,451"
257,West Virginia,2019,"63,480","3,540"
258,Wisconsin,2019,"79,620","2,746"
259,Wyoming,2019,"76,990","4,459"
261,Alabama,2018,"59,900","2,907"
262,Alaska,2018,"82,450","4,067"
263,Arizona,2018,"74,710","2,748"
264,Arkansas,2018,"59,720","2,529"
265,California,2018,"84,560","1,479"
266,Colorado,2018,"87,610","4,273"
267,Connecticut,2018,"87,340","6,141"
268,Delaware,2018,"77,990","4,317"
269,District of Columbia,2018,"102,900","3,190"
270,Florida,2018,"65,550","2,264"
271,Georgia,2018,"66,960","2,438"
272,Hawaii,2018,"96,100","4,177"
273,Idaho,2018,"70,450","2,885"
274,Illinois,2018,"84,140","2,703"
275,Indiana,2018,"71,850","2,396"
276,Iowa,2018,"82,430","3,491"
277,Kansas,2018,"76,700","2,432"
278,Kentucky,2018,"65,440","4,400"
279,Louisiana,2018,"59,950","2,104"
280,Maine,2018,"70,370","6,817"
281,Maryland,2018,"103,400","3,996"
282,Massachusetts,2018,"103,600","3,341"
283,Michigan,2018,"72,510","2,286"
284,Minnesota,2018,"86,150","4,386"
285,Mississippi,2018,"51,320","2,764"
286,Missouri,2018,"74,050","2,929"
287,Montana,2018,"69,190","3,450"
288,Nebraska,2018,"81,060","4,718"
289,Nevada,2018,"74,210","2,538"
290,New Hampshire,2018,"97,580","4,071"
291,New Jersey,2018,"88,980","3,413"
292,New Mexico,2018,"57,920","2,641"
293,New York,2018,"80,700","2,066"
294,North Carolina,2018,"64,020","2,112"
295,North Dakota,2018,"79,780","3,713"
296,Ohio,2018,"73,930","2,704"
297,Oklahoma,2018,"65,300","3,328"
298,Oregon,2018,"82,970","4,384"
299,Pennsylvania,2018,"77,400","1,961"
300,Rhode Island,2018,"74,690","4,016"
301,South Carolina,2018,"68,910","2,498"
302,South Dakota,2018,"71,330","3,169"
303,Tennessee,2018,"67,250","1,730"
304,Texas,2018,"71,720","1,646"
305,Utah,2018,"92,450","2,791"
306,Vermont,2018,"84,050","2,819"
307,Virginia,2018,"92,550","3,702"
308,Washington,2018,"95,640","3,629"
309,West Virginia,2018,"60,670","1,604"
310,Wisconsin,2018,"75,130","2,446"
311,Wyoming,2018,"75,020","4,669"
313,Alabama,2017 (40),"62,250","1,339"
314,Alaska,2017 (40),"95,440","4,550"
315,Arizona,2017 (40),"73,060","3,291"
316,Arkansas,2017 (40),"60,880","3,048"
317,California,2017 (40),"85,710","1,929"
318,Colorado,2017 (40),"91,760","3,256"
319,Connecticut,2017 (40),"90,930","4,226"
320,Delaware,2017 (40),"79,500","6,400"
321,District of Columbia,2017 (40),"99,470","2,329"
322,Florida,2017 (40),"64,960","1,760"
323,Georgia,2017 (40),"70,960","2,800"
324,Hawaii,2017 (40),"90,070","2,878"
325,Idaho,2017 (40),"72,810","2,764"
326,Illinois,2017 (40),"80,730","2,040"
327,Indiana,2017 (40),"71,920","2,025"
328,Iowa,2017 (40),"77,670","5,825"
329,Kansas,2017 (40),"69,630","2,370"
330,Kentucky,2017 (40),"60,790","2,307"
331,Louisiana,2017 (40),"53,310","2,555"
332,Maine,2017 (40),"65,240","3,819"
333,Maryland,2017 (40),"100,500","4,458"
334,Massachusetts,2017 (40),"93,300","2,930"
335,Michigan,2017 (40),"69,030","2,797"
336,Minnesota,2017 (40),"85,630","5,689"
337,Mississippi,2017 (40),"52,960","2,197"
338,Missouri,2017 (40),"69,180","2,855"
339,Montana,2017 (40),"70,250","2,720"
340,Nebraska,2017 (40),"72,910","3,414"
341,Nevada,2017 (40),"71,030","3,612"
342,New Hampshire,2017 (40),"92,550","4,823"
343,New Jersey,2017 (40),"87,180","5,053"
344,New Mexico,2017 (40),"55,800","2,235"
345,New York,2017 (40),"75,310","2,107"
346,North Carolina,2017 (40),"60,630","2,713"
347,North Dakota,2017 (40),"73,630","2,572"
348,Ohio,2017 (40),"74,270","2,315"
349,Oklahoma,2017 (40),"63,490","3,805"
350,Oregon,2017 (40),"76,480","3,111"
351,Pennsylvania,2017 (40),"75,000","2,259"
352,Rhode Island,2017 (40),"80,030","4,949"
353,South Carolina,2017 (40),"66,740","2,610"
354,South Dakota,2017 (40),"69,650","4,878"
355,Tennessee,2017 (40),"67,680","2,608"
356,Texas,2017 (40),"73,540","1,623"
357,Utah,2017 (40),"85,400","2,648"
358,Vermont,2017 (40),"77,930","4,048"
359,Virginia,2017 (40),"86,650","4,656"
360,Washington,2017 (40),"87,550","2,599"
361,West Virginia,2017 (40),"57,460","1,563"
362,Wisconsin,2017 (40),"77,690","3,559"
363,Wyoming,2017 (40),"72,860","3,896"
365,Alabama,2017,"62,550","1,034"
366,Alaska,2017,"88,390","3,327"
367,Arizona,2017,"74,800","3,233"
368,Arkansas,2017,"59,750","3,233"
369,California,2017,"85,370","1,777"
370,Colorado,2017,"90,770","3,649"
371,Connecticut,2017,"89,060","4,294"
372,Delaware,2017,"76,260","4,038"
373,District of Columbia,2017,"102,000","4,062"
374,Florida,2017,"65,690","2,222"
375,Georgia,2017,"69,770","2,979"
376,Hawaii,2017,"90,040","2,725"
377,Idaho,2017,"73,680","2,937"
378,Illinois,2017,"79,060","2,446"
379,Indiana,2017,"72,050","2,479"
380,Iowa,2017,"77,680","6,745"
381,Kansas,2017,"70,820","3,546"
382,Kentucky,2017,"62,840","1,669"
383,Louisiana,2017,"53,730","1,778"
384,Maine,2017,"63,220","2,626"
385,Maryland,2017,"99,230","4,469"
386,Massachusetts,2017,"89,610","4,073"
387,Michigan,2017,"70,610","2,860"
388,Minnesota,2017,"88,010","3,660"
389,Mississippi,2017,"53,160","2,697"
390,Missouri,2017,"69,610","3,195"
391,Montana,2017,"72,310","3,168"
392,Nebraska,2017,"72,960","3,485"
393,Nevada,2017,"69,200","3,719"
394,New Hampshire,2017,"91,540","3,721"
395,New Jersey,2017,"89,330","3,670"
396,New Mexico,2017,"58,560","2,410"
397,New York,2017,"76,420","2,561"
398,North Carolina,2017,"61,610","2,154"
399,North Dakota,2017,"73,280","2,051"
400,Ohio,2017,"73,140","2,313"
401,Oklahoma,2017,"67,310","3,796"
402,Oregon,2017,"79,070","3,495"
403,Pennsylvania,2017,"77,310","3,369"
404,Rhode Island,2017,"81,240","5,151"
405,South Carolina,2017,"67,270","2,543"
406,South Dakota,2017,"69,620","4,446"
407,Tennessee,2017,"67,600","2,646"
408,Texas,2017,"72,560","2,083"
409,Utah,2017,"87,280","2,753"
410,Vermont,2017,"78,080","3,834"
411,Virginia,2017,"87,240","4,009"
412,Washington,2017,"92,290","4,047"
413,West Virginia,2017,"55,550","1,817"
414,Wisconsin,2017,"77,650","4,495"
415,Wyoming,2017,"70,780","3,835"
417,Alabama,2016,"58,800","2,865"
418,Alaska,2016,"94,290","5,088"
419,Arizona,2016,"71,100","2,454"
420,Arkansas,2016,"57,170","2,696"
421,California,2016,"82,980","1,339"
422,Colorado,2016,"87,870","5,137"
423,Connecticut,2016,"94,540","4,239"
424,Delaware,2016,"72,280","3,726"
425,District of Columbia,2016,"88,390","3,404"
426,Florida,2016,"63,730","1,040"
427,Georgia,2016,"66,650","2,091"
428,Hawaii,2016,"89,820","3,126"
429,Idaho,2016,"70,440","1,570"
430,Illinois,2016,"76,440","2,193"
431,Indiana,2016,"69,850","3,583"
432,Iowa,2016,"73,590","3,093"
433,Kansas,2016,"70,740","4,069"
434,Kentucky,2016,"56,500","2,497"
435,Louisiana,2016,"52,540","1,491"
436,Maine,2016,"63,330","4,167"
437,Maryland,2016,"91,850","3,226"
438,Massachusetts,2016,"89,990","3,625"
439,Michigan,2016,"71,090","2,376"
440,Minnesota,2016,"87,440","5,037"
441,Mississippi,2016,"51,180","1,527"
442,Missouri,2016,"68,510","2,141"
443,Montana,2016,"71,070","3,586"
444,Nebraska,2016,"73,930","3,335"
445,Nevada,2016,"69,020","2,661"
446,New Hampshire,2016,"94,960","3,627"
447,New Jersey,2016,"85,260","3,570"
448,New Mexico,2016,"60,330","3,687"
449,New York,2016,"76,500","1,750"
450,North Carolina,2016,"66,950","2,028"
451,North Dakota,2016,"74,940","2,852"
452,Ohio,2016,"67,220","2,358"
453,Oklahoma,2016,"63,440","2,057"
454,Oregon,2016,"73,640","3,265"
455,Pennsylvania,2016,"75,930","2,535"
456,Rhode Island,2016,"76,620","3,522"
457,South Carolina,2016,"67,660","3,926"
458,South Dakota,2016,"71,540","3,829"
459,Tennessee,2016,"63,940","1,727"
460,Texas,2016,"72,410","1,752"
461,Utah,2016,"84,030","2,786"
462,Vermont,2016,"75,760","1,699"
463,Virginia,2016,"82,750","3,033"
464,Washington,2016,"87,550","2,605"
465,West Virginia,2016,"55,230","2,483"
466,Wisconsin,2016,"74,490","2,297"
467,Wyoming,2016,"72,010","3,888"
469,Alabama,2015,"55,920","4,295"
470,Alaska,2015,"94,360","4,378"
471,Arizona,2015,"65,640","2,523"
472,Arkansas,2015,"53,770","1,975"
473,California,2015,"79,940","2,149"
474,Colorado,2015,"83,660","4,626"
475,Connecticut,2015,"91,570","5,589"
476,Delaware,2015,"72,560","4,261"
477,District of Columbia,2015,"88,030","3,594"
478,Florida,2015,"61,340","1,753"
479,Georgia,2015,"63,780","1,760"
480,Hawaii,2015,"81,050","3,568"
481,Idaho,2015,"64,850","1,583"
482,Illinois,2015,"75,900","2,511"
483,Indiana,2015,"65,310","2,113"
484,Iowa,2015,"76,450","4,114"
485,Kansas,2015,"68,930","4,687"
486,Kentucky,2015,"53,250","2,850"
487,Louisiana,2015,"57,690","2,688"
488,Maine,2015,"63,760","2,423"
489,Maryland,2015,"92,450","3,382"
490,Massachusetts,2015,"85,250","3,505"
491,Michigan,2015,"68,090","2,519"
492,Minnesota,2015,"86,340","3,848"
493,Mississippi,2015,"50,300","1,345"
494,Missouri,2015,"74,370","3,275"
495,Montana,2015,"64,570","3,690"
496,Nebraska,2015,"75,970","3,690"
497,Nevada,2015,"65,340","2,854"
498,New Hampshire,2015,"95,070","4,421"
499,New Jersey,2015,"85,880","3,935"
500,New Mexico,2015,"56,680","3,624"
501,New York,2015,"72,870","2,770"
502,North Carolina,2015,"63,820","1,687"
503,North Dakota,2015,"72,130","4,062"
504,Ohio,2015,"66,960","2,459"
505,Oklahoma,2015,"59,140","2,433"
506,Oregon,2015,"76,420","2,982"
507,Pennsylvania,2015,"75,870","2,798"
508,Rhode Island,2015,"69,980","4,079"
509,South Carolina,2015,"58,240","2,847"
510,South Dakota,2015,"69,180","3,271"
511,Tennessee,2015,"59,460","2,146"
512,Texas,2015,"70,950","1,619"
513,Utah,2015,"83,240","3,093"
514,Vermont,2015,"74,740","3,294"
515,Virginia,2015,"77,240","3,064"
516,Washington,2015,"84,480","4,087"
517,West Virginia,2015,"53,800","3,935"
518,Wisconsin,2015,"69,630","1,868"
519,Wyoming,2015,"76,540","2,543"
521,Alabama,2014,"53,070","1,919"
522,Alaska,2014,"84,900","3,958"
523,Arizona,2014,"61,830","2,892"
524,Arkansas,2014,"56,390","3,196"
525,California,2014,"75,930","1,122"
526,Colorado,2014,"76,500","3,030"
527,Connecticut,2014,"88,080","3,346"
528,Delaware,2014,"72,210","3,728"
529,District of Columbia,2014,"85,710","5,526"
530,Florida,2014,"57,920","1,193"
531,Georgia,2014,"62,210","2,522"
532,Hawaii,2014,"89,410","3,359"
533,Idaho,2014,"67,080","3,229"
534,Illinois,2014,"68,940","2,040"
535,Indiana,2014,"60,330","2,439"
536,Iowa,2014,"72,570","4,300"
537,Kansas,2014,"67,090","3,594"
538,Kentucky,2014,"53,710","1,983"
539,Louisiana,2014,"53,230","2,337"
540,Maine,2014,"64,910","2,725"
541,Maryland,2014,"95,610","5,363"
542,Massachusetts,2014,"79,280","3,342"
543,Michigan,2014,"65,280","1,505"
544,Minnesota,2014,"84,410","4,026"
545,Mississippi,2014,"44,590","1,624"
546,Missouri,2014,"71,090","3,804"
547,Montana,2014,"64,150","2,232"
548,Nebraska,2014,"71,390","2,830"
549,Nevada,2014,"62,610","2,305"
550,New Hampshire,2014,"92,140","4,084"
551,New Jersey,2014,"81,900","3,381"
552,New Mexico,2014,"58,610","4,158"
553,New York,2014,"68,180","2,236"
554,North Carolina,2014,"58,730","2,147"
555,North Dakota,2014,"76,240","3,939"
556,Ohio,2014,"62,320","1,749"
557,Oklahoma,2014,"59,250","3,484"
558,Oregon,2014,"73,910","3,764"
559,Pennsylvania,2014,"69,260","2,845"
560,Rhode Island,2014,"73,600","5,023"
561,South Carolina,2014,"56,400","2,817"
562,South Dakota,2014,"66,600","4,446"
563,Tennessee,2014,"54,880","2,920"
564,Texas,2014,"67,630","1,687"
565,Utah,2014,"79,570","4,056"
566,Vermont,2014,"76,210","3,889"
567,Virginia,2014,"83,050","3,698"
568,Washington,2014,"74,150","2,755"
569,West Virginia,2014,"49,650","2,755"
570,Wisconsin,2014,"72,910","2,704"
571,Wyoming,2014,"69,910","2,535"
573,Alabama,2013 (39),"60,250","7,017"
574,Alaska,2013 (39),"92,270","6,934"
575,Arizona,2013 (39),"66,980","5,558"
576,Arkansas,2013 (39),"50,130","3,058"
577,California,2013 (39),"77,400","2,306"
578,Colorado,2013 (39),"86,470","5,257"
579,Connecticut,2013 (39),"88,220","4,123"
580,Delaware,2013 (39),"68,870","5,538"
581,District of Columbia,2013 (39),"76,460","7,040"
582,Florida,2013 (39),"61,790","3,584"
583,Georgia,2013 (39),"59,830","5,393"
584,Hawaii,2013 (39),"81,780","4,988"
585,Idaho,2013 (39),"61,710","6,982"
586,Illinois,2013 (39),"68,670","4,185"
587,Indiana,2013 (39),"62,970","5,740"
588,Iowa,2013 (39),"76,590","7,810"
589,Kansas,2013 (39),"60,880","5,724"
590,Kentucky,2013 (39),"57,140","4,996"
591,Louisiana,2013 (39),"59,110","3,238"
592,Maine,2013 (39),"69,970","4,918"
593,Maryland,2013 (39),"88,300","3,781"
594,Massachusetts,2013 (39),"79,610","6,752"
595,Michigan,2013 (39),"72,020","2,021"
596,Minnesota,2013 (39),"81,900","5,083"
597,Mississippi,2013 (39),"41,170","3,476"
598,Missouri,2013 (39),"58,950","5,263"
599,Montana,2013 (39),"55,000","7,570"
600,Nebraska,2013 (39),"73,370","5,369"
601,Nevada,2013 (39),"66,010","4,046"
602,New Hampshire,2013 (39),"87,980","5,051"
603,New Jersey,2013 (39),"81,170","5,684"
604,New Mexico,2013 (39),"51,140","5,612"
605,New York,2013 (39),"63,620","2,886"
606,North Carolina,2013 (39),"59,000","3,787"
607,North Dakota,2013 (39),"75,310","4,394"
608,Ohio,2013 (39),"64,610","3,117"
609,Oklahoma,2013 (39),"58,770","4,382"
610,Oregon,2013 (39),"62,390","3,676"
611,Pennsylvania,2013 (39),"70,220","3,738"
612,Rhode Island,2013 (39),"71,710","4,904"
613,South Carolina,2013 (39),"55,460","3,040"
614,South Dakota,2013 (39),"68,010","3,714"
615,Tennessee,2013 (39),"55,210","4,373"
616,Texas,2013 (39),"65,450","1,732"
617,Utah,2013 (39),"77,730","1,977"
618,Vermont,2013 (39),"83,410","5,109"
619,Virginia,2013 (39),"83,910","3,489"
620,Washington,2013 (39),"81,390","4,311"
621,West Virginia,2013 (39),"54,840","4,398"
622,Wisconsin,2013 (39),"65,860","3,347"
623,Wyoming,2013 (39),"85,870","5,078"
625,Alabama,2013 (38),"52,690","2,947"
626,Alaska,2013 (38),"77,840","4,203"
627,Arizona,2013 (38),"64,430","6,151"
628,Arkansas,2013 (38),"50,830","3,042"
629,California,2013 (38),"73,240","1,557"
630,Colorado,2013 (38),"80,680","3,565"
631,Connecticut,2013 (38),"86,300","3,243"
632,Delaware,2013 (38),"66,490","3,165"
633,District of Columbia,2013 (38),"77,250","3,924"
634,Florida,2013 (38),"60,970","2,003"
635,Georgia,2013 (38),"60,400","2,494"
636,Hawaii,2013 (38),"78,180","2,810"
637,Idaho,2013 (38),"65,910","4,655"
638,Illinois,2013 (38),"72,820","2,220"
639,Indiana,2013 (38),"64,360","4,100"
640,Iowa,2013 (38),"69,840","2,504"
641,Kansas,2013 (38),"65,550","1,907"
642,Kentucky,2013 (38),"53,680","2,386"
643,Louisiana,2013 (38),"50,450","3,638"
644,Maine,2013 (38),"63,810","2,487"
645,Maryland,2013 (38),"83,090","5,584"
646,Massachusetts,2013 (38),"80,160","4,400"
647,Michigan,2013 (38),"62,130","2,838"
648,Minnesota,2013 (38),"77,550","2,347"
649,Mississippi,2013 (38),"52,010","2,730"
650,Missouri,2013 (38),"64,060","4,708"
651,Montana,2013 (38),"56,190","4,140"
652,Nebraska,2013 (38),"68,470","2,311"
653,Nevada,2013 (38),"57,760","3,603"
654,New Hampshire,2013 (38),"90,810","4,152"
655,New Jersey,2013 (38),"78,660","3,893"
656,New Mexico,2013 (38),"53,640","3,399"
657,New York,2013 (38),"68,550","2,091"
658,North Carolina,2013 (38),"52,470","2,620"
659,North Dakota,2013 (38),"67,340","3,645"
660,Ohio,2013 (38),"59,070","1,765"
661,Oklahoma,2013 (38),"55,740","5,201"
662,Oregon,2013 (38),"71,690","2,574"
663,Pennsylvania,2013 (38),"68,690","2,045"
664,Rhode Island,2013 (38),"73,610","2,718"
665,South Carolina,2013 (38),"55,700","3,781"
666,South Dakota,2013 (38),"69,330","3,858"
667,Tennessee,2013 (38),"54,110","3,736"
